"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"42",-4,-1.0681259009484,-0.141709630963335,23.7580906866595,-0.141709630963335,-0.926416269985068,-0.132970511763127,0.0380576558650792,-2.17211406577642,-0.107351900672669
"43",-3,-1.35045093074381,-0.183160600750564,23.5402699720866,-0.183160600750564,-1.16729032999325,0.0993462327672684,0.0523833386162598,-6.18016745359513,0.0646473437336344
"44",-3.5,-1.40970950449485,-0.152486055782144,24.9593259648262,-0.152486055782144,-1.25722344871271,-0.512705950499454,0.0285092996178093,-5.30313354900785,0.025798445044802
"45",-4,-1.11912023844692,-0.16084969025913,25.095822662154,-0.16084969025913,-0.958270548187792,-1.20402430364515,0.0224790141000545,-5.69944168171823,0.0566208372878841
"46",-3.8,-1.33080120704377,-0.152701575093448,25.1756271880224,-0.152701575093448,-1.17809963195032,-0.728012056445643,0.0293382612800099,-8.30785705465181,0.134959298738871
"47",-3.8,-1.01577649621856,-0.177956363112804,25.5681187442155,-0.177956363112804,-0.837820133105756,-1.18278771556267,0.023769013344127,-0.523697403665351,-0.154576950143119
"48",-2.5,-1.14633198034645,-0.123198259931675,22.2198283076156,-0.123198259931675,-1.02313372041478,0.105892253572145,0.0287889696785376,-4.06408907971556,-0.0336115678679072
"49",-3.8,-1.24144470319394,-0.165026484142337,25.9579125890217,-0.165026484142337,-1.07641821905161,-0.343647135584543,0.0122224977891928,-6.77476819025317,0.0779985701931134
"50",-3.8,-0.849514645116005,-0.153353249434699,23.9787955244393,-0.153353249434699,-0.696161395681306,-0.945753286549484,0.02267001960063,1.67283812124282,-0.174093849492672
"51",-3.8,-0.912636542307335,-0.124042353824559,23.9192412213669,-0.124042353824559,-0.788594188482776,-1.11571495791117,0.0159436668892364,-4.68545755822407,0.0152619080719338
"52",-3.7,-1.21842827158655,-0.190906326110619,26.9557011998425,-0.190906326110619,-1.02752194547593,-1.53538118634838,0.0133482624807981,-7.25446414897474,0.0999983987742085
"53",-3.5,-1.11438380472214,-0.143883911650512,23.416153957806,-0.143883911650512,-0.970499893071624,-1.27815508978985,0.0559126731752806,-5.18076396185646,-0.00144462409483445
"54",-3.8,-1.04522403868943,-0.212530649151104,25.0860760664717,-0.212530649151104,-0.832693389538323,0.00851035982749064,0.0300054158137031,-5.24185005043093,0.0382365213328263
"55",-3.8,-1.10706204369838,-0.168244855578815,22.8564719942191,-0.168244855578815,-0.938817188119566,-0.623293509794998,0.0690809095407935,-7.9686489182782,0.111658980346636
"56",-3.8,-1.00479258918406,-0.152855938479307,22.1389262993325,-0.152855938479307,-0.851936650704757,-0.38011198013774,0.0707365621158336,-2.25841026229057,-0.0754385455058016
"57",-3.5,-1.23116558210503,-0.151434564724414,23.7339972594265,-0.151434564724414,-1.07973101738061,0.393153904784681,0.0384572783191437,-5.50199571461671,0.0128426448930869
"58",-3.8,-1.06561490609397,-0.119121716726023,24.0026756872181,-0.119121716726023,-0.946493189367951,-1.31706715587442,0.0177327984543015,-4.03800547490521,-0.00270974086836093
